rounds | onuID | actualTime | nlocal_updates | computingTime | computingTimeNetworkDelay 
  1 | 34 | 889,83686 |  0 | 845,76250 | 889,83686 
  1 | 33 | 1000,53798 |  1 | 926,13373 | 1000,53798 
  1 | 35 | 1080,62013 |  2 | 960,76568 | 1080,62013 
  1 | 58 | 1123,41184 |  3 | 985,01989 | 1123,41184 
  1 | 39 | 1161,27965 |  4 | 1007,81136 | 1161,27965 
  1 | 17 | 1177,80185 |  5 | 1018,95504 | 1177,80185 
  1 | 54 | 1193,47879 |  6 | 1031,25140 | 1193,47879 
  1 | 26 | 1195,85051 |  7 | 1033,23618 | 1195,85051 
  1 | 37 | 1265,62245 |  8 | 1082,37476 | 1265,62245 
  1 | 42 | 1291,39334 |  9 | 1098,03583 | 1291,39334 
  1 | 29 | 1298,67137 | 10 | 1102,64935 | 1298,67137 
  1 | 38 | 1307,01727 | 11 | 1108,43724 | 1307,01727 
  1 | 62 | 1317,83129 | 12 | 1115,90199 | 1317,83129 
  1 | 19 | 1323,34199 | 13 | 1120,05780 | 1323,34199 
  1 | 49 | 1330,48774 | 14 | 1124,59105 | 1330,48774 
  1 | 60 | 1345,04711 | 15 | 1134,50720 | 1345,04711 
  1 | 10 | 1385,08217 | 16 | 1161,36074 | 1385,08217 
  1 | 45 | 1429,97500 | 17 | 1190,69070 | 1429,97500 
  1 | 28 | 1446,90195 | 18 | 1201,68660 | 1446,90195 
  1 | 63 | 1455,35432 | 19 | 1206,65636 | 1455,35432 
  1 | 53 | 1463,99132 | 20 | 1212,85765 | 1463,99132 
  1 | 52 | 1464,92582 | 21 | 1212,89171 | 1464,92582 
  1 | 59 | 1467,79002 | 22 | 1215,10825 | 1467,79002 
  1 | 36 | 1470,08597 | 23 | 1216,85137 | 1470,08597 
  1 | 31 | 1497,10450 | 24 | 1237,37511 | 1497,10450 
  1 | 32 | 1498,70865 | 25 | 1238,51316 | 1498,70865 
  1 | 50 | 1502,67868 | 26 | 1241,68868 | 1502,67868 
  1 | 51 | 1527,25041 | 27 | 1261,44772 | 1527,25041 
  1 | 44 | 1528,37633 | 28 | 1262,17948 | 1528,37633 
  1 | 22 | 1535,79495 | 29 | 1268,66045 | 1535,79495 
  1 | 40 | 1536,14547 | 30 | 1268,69331 | 1536,14547 
  1 | 48 | 1546,13738 | 31 | 1276,96402 | 1546,13738 
  1 | 46 | 1561,72737 | 32 | 1291,13981 | 1561,72737 
  1 | 30 | 1579,20762 | 33 | 1307,40632 | 1579,20762 
  1 | 27 | 1580,91851 | 34 | 1308,58703 | 1580,91851 
  1 | 43 | 1587,06486 | 35 | 1314,68996 | 1587,06486 
  1 | 41 | 1588,77698 | 36 | 1315,97163 | 1588,77698 
  1 | 55 | 1600,59213 | 37 | 1327,21068 | 1600,59213 
  1 | 61 | 1601,06206 | 38 | 1327,71111 | 1601,06206 
  1 | 47 | 1605,39484 | 39 | 1332,44478 | 1605,39484 
  1 | 56 | 1609,12526 | 40 | 1336,00605 | 1609,12526 
  1 | 57 | 1665,12307 | 41 | 1393,92507 | 1665,12307 
  1 | 18 | 1763,99837 | 42 | 1502,42425 | 1763,99837 
  1 | 21 | 1906,75450 | 43 | 1656,81747 | 1906,75450 
  1 | 13 | 2032,47761 | 44 | 1793,91567 | 2032,47761 
  1 |  4 | 2074,31001 | 45 | 1850,45756 | 2074,31001 
  1 | 11 | 2139,38893 | 46 | 1962,10539 | 2139,38893 
  1 |  5 | 2151,88828 | 47 | 1993,63171 | 2151,88828 
  1 | 12 | 2191,91241 | 48 | 2094,01354 | 2191,91241 
  1 | 23 | 2238,49422 | 49 | 2179,24470 | 2238,49422 
  1 |  2 | 2264,52283 | 50 | 2202,71502 | 2264,52283 
  1 |  7 | 2296,60006 | 51 | 2235,05119 | 2296,60006 
  1 |  1 | 2354,44727 | 52 | 2297,33024 | 2354,44727 
  1 | 15 | 2394,91837 | 53 | 2333,83425 | 2394,91837 
  1 | 16 | 2559,31958 | 54 | 2492,61080 | 2559,31958 
  1 |  8 | 2565,72556 | 55 | 2498,20619 | 2565,72556 
  1 | 14 | 2692,84753 | 56 | 2639,13807 | 2692,84753 
  1 |  6 | 2763,67379 | 57 | 2693,60880 | 2763,67379 
  1 | 24 | 2764,39692 | 58 | 2694,06291 | 2764,39692 
  1 | 25 | 2851,21121 | 59 | 2782,69376 | 2851,21121 
  1 | 20 | 2861,08584 | 60 | 2790,15598 | 2861,08584 
  1 |  3 | 2962,31621 | 61 | 2900,64741 | 2962,31621 
  1 |  0 | 3055,80951 | 62 | 2999,33014 | 3055,80951 
  1 |  9 | 3118,28325 | 63 | 3057,17523 | 3118,28325 
  2 | 34 | 4505,50034 |  0 | 889,48978 | 1387,18692 
  2 | 33 | 4678,12187 |  1 | 940,29948 | 1559,80845 
  2 | 58 | 4745,50799 |  2 | 964,63329 | 1627,19457 
  2 | 35 | 4885,13349 |  3 | 1018,62380 | 1766,82007 
  2 | 26 | 4918,49800 |  4 | 1032,20074 | 1800,18458 
  2 | 39 | 4945,36125 |  5 | 1043,65624 | 1827,04783 
  2 | 17 | 5042,95042 |  6 | 1085,74144 | 1924,63701 
