rounds | onuID | actualTime | nlocal_updates | computingTime | computingTimeNetworkDelay 
  1 | 34 | 892,22108 |  0 | 845,76250 | 892,22108 
  1 | 33 | 1016,59005 |  1 | 926,13373 | 1016,59005 
  1 | 35 | 1120,42047 |  2 | 960,76568 | 1120,42047 
  1 | 58 | 1176,23150 |  3 | 985,01989 | 1176,23150 
  1 | 39 | 1208,71124 |  4 | 1007,81136 | 1208,71124 
  1 | 17 | 1229,10478 |  5 | 1018,95504 | 1229,10478 
  1 | 54 | 1256,76415 |  6 | 1031,25140 | 1256,76415 
  1 | 26 | 1265,38749 |  7 | 1033,23618 | 1265,38749 
  1 | 19 | 1351,08255 |  8 | 1120,05780 | 1351,08255 
  1 | 37 | 1406,80313 |  9 | 1082,37476 | 1406,80313 
  1 | 29 | 1407,46805 | 10 | 1102,64935 | 1407,46805 
  1 | 49 | 1422,45216 | 11 | 1124,59105 | 1422,45216 
  1 | 42 | 1427,26973 | 12 | 1098,03583 | 1427,26973 
  1 | 60 | 1476,21268 | 13 | 1134,50720 | 1476,21268 
  1 | 38 | 1481,79521 | 14 | 1108,43724 | 1481,79521 
  1 | 10 | 1494,29124 | 15 | 1161,36074 | 1494,29124 
  1 | 45 | 1497,89094 | 16 | 1190,69070 | 1497,89094 
  1 | 62 | 1502,35209 | 17 | 1115,90199 | 1502,35209 
  1 | 28 | 1580,29531 | 18 | 1201,68660 | 1580,29531 
  1 | 50 | 1592,33468 | 19 | 1241,68868 | 1592,33468 
  1 | 32 | 1597,61214 | 20 | 1238,51316 | 1597,61214 
  1 | 59 | 1598,80943 | 21 | 1215,10825 | 1598,80943 
  1 | 63 | 1602,73508 | 22 | 1206,65636 | 1602,73508 
  1 | 51 | 1619,44376 | 23 | 1261,44772 | 1619,44376 
  1 | 22 | 1638,62168 | 24 | 1268,66045 | 1638,62168 
  1 | 36 | 1648,21397 | 25 | 1216,85137 | 1648,21397 
  1 | 44 | 1654,36491 | 26 | 1262,17948 | 1654,36491 
  1 | 46 | 1676,85127 | 27 | 1291,13981 | 1676,85127 
  1 | 31 | 1682,67404 | 28 | 1237,37511 | 1682,67404 
  1 | 52 | 1684,05117 | 29 | 1212,89171 | 1684,05117 
  1 | 53 | 1686,33677 | 30 | 1212,85765 | 1686,33677 
  1 | 43 | 1692,39784 | 31 | 1314,68996 | 1692,39784 
