rounds | onuID | actualTime | nlocal_updates | computingTime | computingTimeNetworkDelay 
  1 | 34 | 880,26983 |  0 | 845,76250 | 880,26983 
  1 | 33 | 962,90871 |  1 | 926,13373 | 962,90871 
  1 | 35 | 1005,82756 |  2 | 960,76568 | 1005,82756 
  1 | 58 | 1043,23644 |  3 | 985,01989 | 1043,23644 
  1 | 39 | 1076,85142 |  4 | 1007,81136 | 1076,85142 
  1 | 17 | 1090,52355 |  5 | 1018,95504 | 1090,52355 
  1 | 54 | 1105,07831 |  6 | 1031,25140 | 1105,07831 
  1 | 26 | 1107,48415 |  7 | 1033,23618 | 1107,48415 
  1 | 37 | 1170,43939 |  8 | 1082,37476 | 1170,43939 
  1 | 42 | 1192,94437 |  9 | 1098,03583 | 1192,94437 
  1 | 29 | 1199,41456 | 10 | 1102,64935 | 1199,41456 
  1 | 38 | 1207,05619 | 11 | 1108,43724 | 1207,05619 
  1 | 62 | 1217,33977 | 12 | 1115,90199 | 1217,33977 
  1 | 19 | 1223,96395 | 13 | 1120,05780 | 1223,96395 
  1 | 49 | 1230,17331 | 14 | 1124,59105 | 1230,17331 
  1 | 60 | 1243,60490 | 15 | 1134,50720 | 1243,60490 
  1 | 10 | 1284,15182 | 16 | 1161,36074 | 1284,15182 
  1 | 45 | 1331,97039 | 17 | 1190,69070 | 1331,97039 
  1 | 28 | 1352,29344 | 18 | 1201,68660 | 1352,29344 
  1 | 63 | 1361,70557 | 19 | 1206,65636 | 1361,70557 
  1 | 52 | 1372,54118 | 20 | 1212,89171 | 1372,54118 
  1 | 53 | 1372,85771 | 21 | 1212,85765 | 1372,85771 
  1 | 59 | 1376,21589 | 22 | 1215,10825 | 1376,21589 
  1 | 36 | 1379,06548 | 23 | 1216,85137 | 1379,06548 
  1 | 31 | 1409,65147 | 24 | 1237,37511 | 1409,65147 
  1 | 32 | 1411,44995 | 25 | 1238,51316 | 1411,44995 
  1 | 50 | 1416,14388 | 26 | 1241,68868 | 1416,14388 
  1 | 51 | 1443,45987 | 27 | 1261,44772 | 1443,45987 
  1 | 44 | 1444,82614 | 28 | 1262,17948 | 1444,82614 
  1 | 22 | 1453,43111 | 29 | 1268,66045 | 1453,43111 
  1 | 40 | 1453,74305 | 30 | 1268,69331 | 1453,74305 
  1 | 48 | 1464,72988 | 31 | 1276,96402 | 1464,72988 
  1 | 46 | 1482,49011 | 32 | 1291,13981 | 1482,49011 
  1 | 30 | 1501,81098 | 33 | 1307,40632 | 1501,81098 
  1 | 27 | 1503,70685 | 34 | 1308,58703 | 1503,70685 
  1 | 43 | 1510,07834 | 35 | 1314,68996 | 1510,07834 
  1 | 41 | 1512,44321 | 36 | 1315,97163 | 1512,44321 
  1 | 55 | 1523,58173 | 37 | 1327,21068 | 1523,58173 
  1 | 61 | 1523,77292 | 38 | 1327,71111 | 1523,77292 
  1 | 47 | 1528,85194 | 39 | 1332,44478 | 1528,85194 
  1 | 56 | 1531,67660 | 40 | 1336,00605 | 1531,67660 
  1 | 57 | 1577,14211 | 41 | 1393,92507 | 1577,14211 
  1 | 18 | 1619,74824 | 42 | 1502,42425 | 1619,74824 
  1 | 21 | 1691,79919 | 43 | 1656,81747 | 1691,79919 
  1 | 13 | 1828,89422 | 44 | 1793,91567 | 1828,89422 
  1 |  4 | 1885,90719 | 45 | 1850,45756 | 1885,90719 
  1 | 11 | 1999,45803 | 46 | 1962,10539 | 1999,45803 
  1 |  5 | 2032,64154 | 47 | 1993,63171 | 2032,64154 
  1 | 12 | 2127,81314 | 48 | 2094,01354 | 2127,81314 
  1 | 23 | 2214,67507 | 49 | 2179,24470 | 2214,67507 
  1 |  2 | 2239,25325 | 50 | 2202,71502 | 2239,25325 
  1 |  7 | 2270,64434 | 51 | 2235,05119 | 2270,64434 
  1 |  1 | 2331,94455 | 52 | 2297,33024 | 2331,94455 
  1 | 15 | 2369,25283 | 53 | 2333,83425 | 2369,25283 
  1 | 16 | 2535,71424 | 54 | 2492,61080 | 2535,71424 
  1 |  8 | 2542,03405 | 55 | 2498,20619 | 2542,03405 
  1 | 14 | 2674,42586 | 56 | 2639,13807 | 2674,42586 
  1 |  6 | 2737,79760 | 57 | 2693,60880 | 2737,79760 
  1 | 24 | 2738,55885 | 58 | 2694,06291 | 2738,55885 
  1 | 25 | 2824,64771 | 59 | 2782,69376 | 2824,64771 
  1 | 20 | 2833,22794 | 60 | 2790,15598 | 2833,22794 
  1 |  3 | 2936,82364 | 61 | 2900,64741 | 2936,82364 
  1 |  0 | 3035,07340 | 62 | 2999,33014 | 3035,07340 
  1 |  9 | 3092,98315 | 63 | 3057,17523 | 3092,98315 
  2 | 34 | 4018,47990 |  0 | 889,48978 | 925,46657 
  2 | 33 | 4072,53310 |  1 | 940,29948 | 979,51977 
  2 | 58 | 4097,63193 |  2 | 964,63329 | 1004,61861 
  2 | 35 | 4157,97951 |  3 | 1018,62380 | 1064,96618 
  2 | 26 | 4176,08158 |  4 | 1032,20074 | 1083,06825 
  2 | 39 | 4187,62471 |  5 | 1043,65624 | 1094,61138 
  2 | 17 | 4218,05614 |  6 | 1085,74144 | 1125,04282 
  2 | 29 | 4281,43650 |  7 | 1121,50282 | 1188,42318 
  2 | 37 | 4282,00229 |  8 | 1121,78496 | 1188,98896 
  2 | 54 | 4298,02583 |  9 | 1129,59904 | 1205,01251 
  2 | 62 | 4302,80070 | 10 | 1132,01125 | 1209,78738 
  2 | 38 | 4322,17772 | 11 | 1141,56378 | 1229,16439 
  2 | 32 | 4335,14708 | 12 | 1148,24956 | 1242,13375 
  2 | 45 | 4393,14002 | 13 | 1178,01563 | 1300,12670 
  2 | 49 | 4402,65999 | 14 | 1182,48187 | 1309,64666 
  2 | 42 | 4426,05677 | 15 | 1193,78601 | 1333,04344 
  2 | 31 | 4435,62831 | 16 | 1198,47082 | 1342,61499 
  2 | 52 | 4442,37999 | 17 | 1201,95200 | 1349,36666 
  2 | 10 | 4444,67232 | 18 | 1203,18788 | 1351,65900 
  2 | 19 | 4456,66193 | 19 | 1209,29829 | 1363,64860 
  2 | 36 | 4484,09348 | 20 | 1224,14067 | 1391,08016 
  2 | 28 | 4502,16749 | 21 | 1234,30121 | 1409,15416 
  2 | 41 | 4517,71896 | 22 | 1243,54033 | 1424,70564 
  2 | 53 | 4519,12456 | 23 | 1244,18596 | 1426,11123 
  2 | 44 | 4522,37447 | 24 | 1246,75765 | 1429,36114 
  2 | 51 | 4528,28946 | 25 | 1250,68364 | 1435,27614 
  2 | 60 | 4529,66804 | 26 | 1251,39371 | 1436,65472 
  2 | 59 | 4556,37165 | 27 | 1269,88113 | 1463,35833 
  2 | 43 | 4571,47722 | 28 | 1281,01605 | 1478,46389 
  2 | 63 | 4579,41919 | 29 | 1286,92296 | 1486,40586 
  2 | 50 | 4589,27707 | 30 | 1295,53808 | 1496,26374 
  2 | 22 | 4596,93381 | 31 | 1302,25712 | 1503,92049 
  2 | 55 | 4600,30431 | 32 | 1305,05652 | 1507,29099 
  2 | 48 | 4611,23644 | 33 | 1315,26856 | 1518,22312 
  2 | 61 | 4614,23179 | 34 | 1318,49661 | 1521,21847 
  2 | 40 | 4614,66633 | 35 | 1318,87409 | 1521,65301 
  2 | 30 | 4615,35550 | 36 | 1319,50483 | 1522,34218 
  2 | 47 | 4615,55707 | 37 | 1319,41492 | 1522,54375 
  2 | 46 | 4615,85661 | 38 | 1319,58528 | 1522,84329 
  2 | 56 | 4630,61253 | 39 | 1335,90287 | 1537,59921 
  2 | 27 | 4637,82760 | 40 | 1343,39937 | 1544,81427 
  2 | 57 | 4647,53633 | 41 | 1354,94517 | 1554,52301 
  2 | 18 | 4716,21605 | 42 | 1492,12029 | 1623,20272 
  2 | 21 | 4858,40759 | 43 | 1730,76586 | 1765,39426 
  2 | 13 | 4945,07019 | 44 | 1817,06994 | 1852,05687 
  2 |  4 | 4985,54786 | 45 | 1857,82920 | 1892,53453 
  2 |  5 | 5205,78980 | 46 | 2074,58774 | 2112,77647 
  2 | 11 | 5244,84810 | 47 | 2112,16036 | 2151,83478 
  2 | 23 | 5309,86646 | 48 | 2180,33007 | 2216,85314 
  2 | 12 | 5354,35382 | 49 | 2220,82044 | 2261,34049 
  2 |  7 | 5389,25570 | 50 | 2246,32928 | 2296,24237 
  2 |  2 | 5395,66471 | 51 | 2251,80496 | 2302,65138 
  2 |  1 | 5423,09621 | 52 | 2287,01382 | 2330,08288 
  2 | 15 | 5511,42286 | 53 | 2382,04379 | 2418,40953 
  2 |  8 | 5666,38241 | 54 | 2529,35940 | 2573,36908 
